birthYear, deathYear
1919, 2008 
1921, 1989 
1956, 2007 
1959, 2014 
1987, 2011 
1925, 2008 
1946, 1987 
1906, 1970 
1921, 2004 
1919, 2013 
1890, 1959 
1901, 1982 
1856, 1945 
1860, 1931 
1911, 1991 
1933, 2011 
1932, 2007 
1888, 1939 
1956, 2011 
1930, 1996 
1934, 2013 
1965, 2014 
1926, 2002 
1911, 2002 
1888, 1971 
1935, 2013 
1675, 1726 
1879, 1954 
1959, 2002 
1944, 1983 
1917, 1986 
1888, 1967 
1881, 1967 
1873, 1959 
1944, 2011 
1906, 2000 
1902, 1984 
1898, 1994 
1886, 1908 
1917, 2001 
1903, 1986 
1943, 2008 
1925, 2007 
1935, 1996 
1841, 1909 
1914, 2013 
1889, 1975 
1873, 1921 
1939, 2013 
1949, 2013 
1899, 1980 
1900, 1987 
1948, 1995 
1919, 1983 
1917, 1993 
1794, 1884 
1886, 1979 
1917, 2004 
1936, 2007 
1862, 1932 
1895, 1972 
1925, 1998 
1920, 1973 
1912, 1984 
1932, 2011 
1940, 2011 
1932, 1993 
1926, 1975 
1922, 2008 
1900, 1972 
1970, 2010 
1855, 1931 
1932, 2002 
1887, 1933 
1883, 1986 
1919, 1969 
1925, 2015 
1921, 2009 
1983, 2013 
1923, 2013 
1897, 1987 
1905, 1942 
1903, 1986 
1922, 2014 
1887, 1922 
1874, 1965 
1930, 1996 
1926, 2003 
1931, 1989 
1850, 1913 
1870, 1945 
1950, 1994 
1942, 1978 
1931, 2012 
1924, 2011 
1922, 1993 
1936, 2013 
1885, 1946 
1852, 1918 
1948, 2012 
1987, 2014 
1889, 1917 
1932, 2010 
1919, 2005 
1953, 2011 
1966, 2012 
1916, 2007 
1892, 1967 
1906, 1996 
1864, 1926 
1930, 2002 
1974, 2010 
1920, 1996 
1932, 2007 
1940, 2015 
1900, 1976 
1877, 1959 
1910, 1988 
1899, 1988 
1922, 2014 
1922, 2014 
1906, 1991 
1847, 1911 
1880, 1931 
1924, 2002 
1938, 2002 
1953, 2014 
1926, 1979 
1911, 1987 
1945, 1997 
1858, 1939 
1875, 1945 
1897, 1928 
1927, 2010 
1880, 1959 
1951, 2011 
1920, 1989 
1889, 1976 
1925, 1994 
1916, 2013 
1873, 1896 
1888, 1968 
1828, 1918 
1907, 1989 
1830, 1893 
1862, 1936 
1902, 1969 
1860, 1940 
1908, 1978 
1962, 2006 
1970, 2012 
1922, 1994 
1858, 1938 
1858, 1929 
1857, 1942 
1879, 1935 
1867, 1928 
1969, 2014 
1890, 1916 
1921, 1968 
1911, 1987 
1871, 1943 
1881, 1937 
1886, 1916 
1941, 2002 
1885, 1945 
1918, 1999 
1950, 2006 
1892, 1942 
1910, 1991 
1913, 2006 
1948, 1985 
1968, 2008 
1879, 1950 
1908, 2008 
1920, 2006 
1933, 2014 
1900, 1983 
1928, 2008 
1884, 1949 
1901, 1975 
1935, 2006 
1913, 1980 
1931, 2002 
1907, 1953 
1921, 2015 
1885, 1974 
1933, 2009 
1914, 1993 
1907, 1966 
1867, 1905 
1883, 1966 
1846, 1904 
1880, 1956 
1859, 1940 
1889, 1965 
1906, 1991 
1949, 1994 
1855, 1943 
1868, 1960 
1892, 1968 
1866, 1919 
1939, 2008 
1870, 1950 
1917, 1995 
1852, 1930 
1896, 1931 
1892, 1943 
1914, 1975 
1923, 1986 
1915, 1986 
1805, 1880 
1912, 1999 
1811, 1854 
1942, 1995 
1860, 1947 
1840, 1888 
1912, 1967 
1928, 2007 
1907, 1994 
1937, 2009 
1861, 1937 
1893, 1969 
1929, 2012 
1943, 2009 
1940, 2012 
1903, 1938 
1950, 2008 
1937, 2008 
1928, 1999 
1953, 2013 
1881, 1971 
1950, 2011 
1897, 1963 
1913, 1990 
1945, 2007 
1963, 2011 
1924, 2008 
1979, 2008 
